namePlayer,Top Of Key Percentage,Left Wing Percentage,Left Corner Percentage,Left Mid Range Percentage,Left Short Corner Percentage,Left Block Percentage,Paint Percentage,Right Block Percentage,Right Short Corner Percentage,Right Mid Range Percentage,Right Corner Percentage,Right Wing Percentage,Transition Percentage,Catch and Shoot Percentage,Left Drive Layup Percentage,Right Drive Layup Percentage,Putback Percentage,Left Drive Pullup Percentage,Right Drive Pullup Pecentage,Left Spin Post Fade Percentage,Right Spin Post Fade Percentage,Left Drive Floater Percentage,Right Drive Floater Percentage,Left Spin Layup Percentage,Right Spin Layup Percentage,Size Up Percentage,Left Hand Finish Percentage,Right Hand Finish Percentage,Left Drive Left Hand Finish Percentage,Left Drive Right Hand Finish Percentage,Right Drive Left Hand Finish Percentage,Right Drive Right Hand Finish Percentage
Winters Grady,0.346,0.4,0.455,0.0,0.0,0.0,0.625,0.667,0.333,0.0,0.462,0.391,0.286,0.308,0.5,0.44,0.5,0.333,0.333,0.25,0.6,0.5,0.333,0.0,winters_right_spin_layup_percentage,0.75,winters_left_finishes_percentage,0.46,winters_drive_left_finish_left_percentage,0.5,winters_drive_right_finish_left_percentage,0.394
Isaac Carr,0.421,0.522,0.538,isaac_left_MR_percentage,0.5,isaac_left_block_percentage,0.667,0.5,isaac_right_SC_percentage,0.0,0.556,0.364,0.5,0.385,0.609,0.643,0.25,0.353,0.333,isaac_left_spin_post_fade_percentage,0.0,isaac_left_drive_floater_percentage,isaac_right_drive_floater_percentage,isaac_left_spin_layup_percentage,isaac_right_spin_layup_percentage,1.0,0.529,0.6,0.5,0.727,0.6,0.571
