namePlayer,Field Goal Percentage,Three Point Percentage,Free Throw Percentage,True Shooting Percentage,Effective Field Goal Percentage,Restricted Area Percentage,Left Restricted Area Percentage,Right Restricted Area Percentage,Center Restricted Area Percentage,Mid Range Percentage,Left Mid Range Percentage,Right Mid Range Percentage,Center Mid Range Percentage,Corner Three Percentage,Left Corner Three Percentage,Right Corner Three Percentage,Above the Break Three Percentage,Left Above the Break Three Percentage,Right Above the Break Three Percentage,Center Above the Break Three Percentage
Winters Grady,0.381,0.367,0.788,0.489,0.446,0.458,0.545,0.6,0.333,0.3,0.267,0.2,0.4,0.294,0.25,0.333,0.406,0.444,0.429,0.333
Isaac Carr,0.473,0.37,0.793,0.587,0.55,0.591,0.6,0.714,0.5,0.421,0.6,0.167,0.5,0.5,0.5,0.5,0.227,0.0,0.364,0.333
